epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1274,1.54234,4.57548,1.59353,0.26527,0.32422,0.22801,0.12682,1.61255,2.96208,1.70512,0.000362454,0.000362454,0.000362454
2,92.6734,1.50902,2.57707,1.52677,0.11947,0.31892,0.15659,0.08157,1.69334,2.81761,1.7744,0.000727951,0.000727951,0.000727951
3,123.553,1.55215,2.29729,1.56577,0.08861,0.08766,0.04226,0.02573,2.02613,3.95479,1.8688,0.00108856,0.00108856,0.00108856
4,154.703,1.53432,2.12026,1.5837,0.35547,0.41167,0.31986,0.17041,1.7131,2.62095,1.7786,0.001089,0.001089,0.001089
5,186.585,1.51641,1.97932,1.57645,0.28115,0.3561,0.23354,0.12933,1.62429,3.10813,1.70707,0.00108167,0.00108167,0.00108167
6,218.005,1.48892,1.89063,1.56746,0.35902,0.51489,0.34497,0.18144,1.71177,2.62075,1.81128,0.00107434,0.00107434,0.00107434
7,248.846,1.46745,1.86157,1.5475,0.30281,0.44151,0.33952,0.16897,1.84601,2.3005,1.82674,0.001067,0.001067,0.001067
8,279.743,1.47853,1.7326,1.53743,0.51189,0.50241,0.44266,0.24955,1.51979,2.19981,1.63155,0.00105967,0.00105967,0.00105967
9,310.639,1.45309,1.72804,1.54786,0.36081,0.51852,0.42003,0.23322,1.55304,2.11312,1.6733,0.00105234,0.00105234,0.00105234
10,342.625,1.42562,1.66539,1.53258,0.44935,0.5601,0.48411,0.24835,1.68202,2.24848,1.7507,0.00104501,0.00104501,0.00104501
11,373.667,1.4113,1.59865,1.50917,0.39949,0.58934,0.50418,0.28119,1.58957,1.86785,1.72773,0.00103767,0.00103767,0.00103767
12,404.457,1.41102,1.55065,1.53019,0.49962,0.49959,0.47958,0.27858,1.54429,1.95894,1.6444,0.00103034,0.00103034,0.00103034
13,435.399,1.41037,1.58237,1.52783,0.50185,0.5532,0.51672,0.29965,1.52855,1.83887,1.66783,0.00102301,0.00102301,0.00102301
14,466.764,1.36346,1.44157,1.49612,0.40902,0.61728,0.46616,0.25885,1.61481,1.99982,1.76119,0.00101568,0.00101568,0.00101568
15,498.662,1.37204,1.42789,1.4941,0.55612,0.45409,0.45353,0.25482,1.49742,1.93963,1.64395,0.00100834,0.00100834,0.00100834
16,529.581,1.35462,1.44686,1.49623,0.45333,0.61604,0.54362,0.2918,1.71303,1.92907,1.81164,0.00100101,0.00100101,0.00100101
17,560.271,1.37759,1.40994,1.52619,0.51074,0.51008,0.55215,0.30719,1.68158,1.71829,1.77712,0.000993678,0.000993678,0.000993678
18,591.252,1.3455,1.38914,1.51061,0.67784,0.58953,0.63376,0.36477,1.48924,1.58525,1.65932,0.000986346,0.000986346,0.000986346
19,623.104,1.31928,1.28476,1.44902,0.65416,0.60282,0.66004,0.38285,1.54869,1.53872,1.69966,0.000979013,0.000979013,0.000979013
