epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65102,1.57184,3.6402,1.3204,0.00631,0.48849,0.12812,0.05058,1.53792,3.85731,1.64486,0.000361917,0.000361917,0.000361917
2,12.0136,1.51758,2.8986,1.30247,0.20436,0.06713,0.0789,0.03812,1.73962,3.17816,1.99252,0.000726209,0.000726209,0.000726209
3,16.3862,1.48794,2.57658,1.31602,0.19272,0.37731,0.23541,0.08427,1.50123,2.73475,1.62066,0.00108439,0.00108439,0.00108439
4,20.5957,1.50927,2.46373,1.3495,0.27575,0.43096,0.24133,0.1255,1.97272,2.53186,2.0073,0.0010835,0.0010835,0.0010835
5,24.8486,1.47219,2.31285,1.33081,0.22759,0.49161,0.26689,0.14415,1.55849,2.91553,1.91115,0.00107434,0.00107434,0.00107434
6,29.1186,1.47952,2.11621,1.33988,0.38807,0.41307,0.35361,0.15524,1.779,2.38605,1.80546,0.00106517,0.00106517,0.00106517
7,33.4189,1.42421,1.96291,1.30543,0.29415,0.50285,0.32104,0.18458,1.79135,2.34332,1.89637,0.00105601,0.00105601,0.00105601
8,37.5474,1.39613,1.86596,1.30004,0.4139,0.61245,0.44484,0.25982,1.70738,2.29285,2.01755,0.00104684,0.00104684,0.00104684
9,41.8379,1.36792,1.72196,1.27987,0.45347,0.49271,0.43468,0.21854,1.82087,2.19915,1.89592,0.00103767,0.00103767,0.00103767
10,46.0674,1.37843,1.59932,1.28386,0.58756,0.55497,0.55261,0.29935,1.78685,1.90292,1.81091,0.00102851,0.00102851,0.00102851
11,50.2592,1.37052,1.52332,1.29021,0.4712,0.52285,0.50183,0.25715,1.66006,2.03428,1.73915,0.00101934,0.00101934,0.00101934
12,54.4303,1.34198,1.48297,1.27083,0.53807,0.48001,0.47045,0.26493,1.57192,2.60779,1.8131,0.00101018,0.00101018,0.00101018
13,58.6135,1.31954,1.40778,1.26165,0.51198,0.55472,0.49398,0.27678,1.9385,2.31046,1.84802,0.00100101,0.00100101,0.00100101
14,62.7911,1.35912,1.42726,1.2874,0.45806,0.56038,0.4545,0.24405,1.71443,2.0866,1.83037,0.000991845,0.000991845,0.000991845
15,67.027,1.31542,1.34432,1.24458,0.51343,0.62925,0.55144,0.31882,1.54209,1.77301,1.8687,0.000982679,0.000982679,0.000982679
16,71.171,1.3139,1.31397,1.23442,0.58124,0.61513,0.59691,0.33054,1.59552,1.61764,1.64476,0.000973514,0.000973514,0.000973514
17,75.466,1.31773,1.27678,1.24957,0.44993,0.63007,0.55441,0.29337,1.52827,2.02001,1.56778,0.000964348,0.000964348,0.000964348
18,79.7276,1.27891,1.19827,1.24636,0.57632,0.5878,0.58253,0.34379,1.4562,1.82561,1.5858,0.000955182,0.000955182,0.000955182
19,84.2483,1.26066,1.17797,1.23214,0.73357,0.64382,0.70202,0.38756,1.57837,1.56007,1.69935,0.000946016,0.000946016,0.000946016
20,88.3139,1.26103,1.15009,1.23193,0.72223,0.5803,0.62539,0.32396,1.8296,1.61826,1.99778,0.000936851,0.000936851,0.000936851
21,92.4479,1.24911,1.10709,1.20822,0.6522,0.62111,0.65863,0.36799,1.60713,1.41981,1.70256,0.000927685,0.000927685,0.000927685
22,96.557,1.22508,1.06675,1.19574,0.59652,0.53451,0.52801,0.30194,1.58262,1.85423,1.71937,0.000918519,0.000918519,0.000918519
23,100.723,1.23792,1.05923,1.21293,0.56947,0.59773,0.61127,0.35275,1.31364,1.43098,1.46219,0.000909353,0.000909353,0.000909353
24,104.966,1.21829,1.01539,1.19822,0.6595,0.57856,0.6034,0.33963,1.54039,1.48376,1.63521,0.000900188,0.000900188,0.000900188
25,109.087,1.20502,0.98839,1.19262,0.55216,0.60436,0.55876,0.31903,1.46688,2.45237,1.51399,0.000891022,0.000891022,0.000891022
26,113.229,1.2571,1.02409,1.22863,0.69978,0.58202,0.63525,0.34913,1.49773,1.75425,1.51859,0.000881856,0.000881856,0.000881856
27,117.412,1.2238,0.95982,1.1972,0.68403,0.63332,0.65525,0.36835,1.48405,1.44706,1.50305,0.000872691,0.000872691,0.000872691
28,121.383,1.20707,0.89726,1.19051,0.67018,0.57886,0.61666,0.3249,1.38774,1.41333,1.41495,0.000863525,0.000863525,0.000863525
29,125.488,1.1816,0.8997,1.18018,0.67009,0.61236,0.64327,0.37172,1.35088,1.55228,1.39989,0.000854359,0.000854359,0.000854359
30,129.75,1.16652,0.91557,1.17411,0.65395,0.66127,0.66707,0.37709,1.61196,1.66389,1.71426,0.000845193,0.000845193,0.000845193
31,133.897,1.16327,0.89395,1.18557,0.63279,0.74001,0.67407,0.36542,1.60426,1.42035,1.61877,0.000836027,0.000836027,0.000836027
32,137.967,1.16875,0.87176,1.17319,0.69898,0.4917,0.61188,0.31974,1.47645,1.54121,1.47726,0.000826862,0.000826862,0.000826862
33,142.146,1.15492,0.87223,1.15634,0.6088,0.59023,0.63872,0.36325,1.46659,1.55899,1.67918,0.000817696,0.000817696,0.000817696
34,146.166,1.12852,0.82079,1.14007,0.66296,0.55804,0.61592,0.33735,1.47424,1.47157,1.62564,0.00080853,0.00080853,0.00080853
35,150.255,1.13645,0.83332,1.14469,0.60767,0.58928,0.60562,0.35856,1.40762,1.33696,1.71557,0.000799365,0.000799365,0.000799365
36,154.555,1.13755,0.82628,1.16134,0.66494,0.63969,0.63932,0.35864,1.43906,1.38928,1.71188,0.000790199,0.000790199,0.000790199
37,158.789,1.12146,0.80783,1.14327,0.65597,0.66792,0.65542,0.36213,1.3829,1.188,1.50576,0.000781033,0.000781033,0.000781033
38,162.94,1.0926,0.79385,1.12829,0.69679,0.60161,0.65612,0.38482,1.43098,1.24138,1.51827,0.000771867,0.000771867,0.000771867
39,167.254,1.08009,0.76725,1.11428,0.66198,0.63606,0.65959,0.37285,1.60937,1.47793,1.75102,0.000762702,0.000762702,0.000762702
