epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7085,1.61055,5.14697,1.66148,0.37533,0.34805,0.26237,0.14301,1.58515,3.18357,1.6304,0.000362454,0.000362454,0.000362454
2,72.9296,1.47915,2.6183,1.52463,0.24553,0.49535,0.30269,0.17277,1.59757,2.58371,1.60553,0.000732708,0.000732708,0.000732708
3,106.339,1.51193,2.36155,1.52874,0.13867,0.5414,0.24434,0.13928,1.57147,5.88097,1.72719,0.00110264,0.00110264,0.00110264
4,137.67,1.50388,2.29593,1.59605,0.35248,0.33664,0.28739,0.14799,1.7516,3.53129,1.76531,0.00110991,0.00110991,0.00110991
5,168.119,1.47656,2.0678,1.57912,0.38454,0.4486,0.31385,0.16418,1.73633,2.54735,1.76356,0.00110907,0.00110907,0.00110907
6,199.329,1.46989,2.00056,1.59074,0.18674,0.50219,0.21357,0.11808,1.66522,3.84277,1.99984,0.00110799,0.00110799,0.00110799
7,233.877,1.46613,1.85314,1.59992,0.39586,0.45927,0.35197,0.21027,1.6204,2.33023,1.6366,0.00110666,0.00110666,0.00110666
8,268.406,1.41859,1.71865,1.54325,0.42359,0.59941,0.45825,0.25241,1.69195,2.0289,1.73347,0.0011051,0.0011051,0.0011051
9,302.777,1.41045,1.64511,1.52622,0.37232,0.49923,0.38592,0.21968,1.55784,2.11094,1.6081,0.0011033,0.0011033,0.0011033
10,335.139,1.35217,1.57616,1.50452,0.54081,0.42123,0.48719,0.27937,1.63539,2.15246,1.67119,0.00110126,0.00110126,0.00110126
11,366.004,1.35003,1.49293,1.49175,0.38243,0.53893,0.46382,0.25902,1.66105,2.06053,1.71547,0.00109898,0.00109898,0.00109898
12,396.351,1.31323,1.49862,1.4728,0.41686,0.60629,0.44205,0.25785,1.54675,1.97047,1.62319,0.00109647,0.00109647,0.00109647
13,425.911,1.30835,1.33991,1.46018,0.47634,0.59686,0.51348,0.28959,1.63616,1.87435,1.66894,0.00109372,0.00109372,0.00109372
14,456.825,1.28952,1.30059,1.46132,0.47294,0.50506,0.46524,0.27365,1.55866,1.77997,1.66671,0.00109074,0.00109074,0.00109074
15,486.677,1.28334,1.31744,1.45028,0.48742,0.5034,0.50527,0.29494,1.55663,1.91686,1.65174,0.00108753,0.00108753,0.00108753
16,518.06,1.28369,1.34594,1.45839,0.60637,0.47497,0.54128,0.29325,1.6235,1.82588,1.6434,0.00108408,0.00108408,0.00108408
17,548.892,1.26911,1.21248,1.44246,0.5222,0.51931,0.53274,0.2682,1.78547,1.85488,1.87474,0.00108041,0.00108041,0.00108041
18,579.632,1.19833,1.1557,1.39627,0.50128,0.58957,0.54246,0.32195,1.48156,1.75052,1.6234,0.00107651,0.00107651,0.00107651
19,613.908,1.22501,1.1509,1.41527,0.7149,0.44092,0.57061,0.29865,1.64863,1.77483,1.76311,0.00107238,0.00107238,0.00107238
20,645.736,1.19315,1.1051,1.37553,0.70707,0.50264,0.58285,0.331,1.6316,1.8879,1.72766,0.00106803,0.00106803,0.00106803
21,680.192,1.20549,1.04634,1.37177,0.59356,0.64534,0.61818,0.3498,1.66267,1.56753,1.76729,0.00106345,0.00106345,0.00106345
22,717.441,1.17326,1.06405,1.37641,0.56949,0.60612,0.5968,0.34028,1.53065,1.65471,1.64466,0.00105866,0.00105866,0.00105866
23,751.535,1.20035,1.016,1.38764,0.69145,0.54911,0.5943,0.33816,1.58301,1.60353,1.72622,0.00105365,0.00105365,0.00105365
24,785.652,1.16698,0.98364,1.3559,0.64961,0.65175,0.67461,0.38576,1.53072,1.55165,1.67065,0.00104842,0.00104842,0.00104842
25,815.802,1.15029,0.99246,1.33651,0.70044,0.55305,0.67668,0.38166,1.59062,1.68744,1.74098,0.00104298,0.00104298,0.00104298
26,850.258,1.1237,0.98248,1.33374,0.64745,0.5437,0.6223,0.35767,1.54616,1.64784,1.65799,0.00103732,0.00103732,0.00103732
27,885.977,1.13467,0.95302,1.33436,0.79329,0.53323,0.68455,0.38451,1.56351,1.40318,1.65837,0.00103146,0.00103146,0.00103146
28,920.748,1.09894,0.90354,1.30214,0.7648,0.45569,0.62088,0.35901,1.56697,1.55887,1.69856,0.00102539,0.00102539,0.00102539
29,953.776,1.0788,0.89545,1.29279,0.68147,0.63523,0.64176,0.37282,1.53547,1.51499,1.627,0.00101912,0.00101912,0.00101912
30,987.069,1.06309,0.88061,1.28649,0.73373,0.6459,0.68288,0.40367,1.51693,1.55662,1.64573,0.00101264,0.00101264,0.00101264
31,1022.06,1.09144,0.8444,1.30195,0.60208,0.67918,0.63593,0.39563,1.47622,1.50693,1.63446,0.00100597,0.00100597,0.00100597
32,1057.15,1.03957,0.86601,1.27041,0.67073,0.65026,0.65368,0.36191,1.67559,1.51272,1.81496,0.000999103,0.000999103,0.000999103
33,1087.43,1.06917,0.82589,1.29619,0.67046,0.67296,0.6777,0.38035,1.53273,1.35376,1.645,0.000992043,0.000992043,0.000992043
34,1118.19,1.07021,0.83302,1.29961,0.65368,0.59917,0.65261,0.36201,1.58922,1.51302,1.77438,0.000984795,0.000984795,0.000984795
35,1148.85,1.01704,0.82383,1.2594,0.70116,0.53456,0.61278,0.36669,1.61559,1.59603,1.77108,0.000977361,0.000977361,0.000977361
36,1180.96,1.01242,0.79002,1.25549,0.60628,0.71332,0.65128,0.38609,1.58559,1.36955,1.76879,0.000969744,0.000969744,0.000969744
37,1212.98,0.98507,0.77028,1.23003,0.63044,0.66261,0.63632,0.36653,1.61653,1.48215,1.77576,0.000961948,0.000961948,0.000961948
38,1248.39,0.98506,0.75977,1.22965,0.64965,0.5954,0.61125,0.33375,1.61502,1.55397,1.71592,0.000953976,0.000953976,0.000953976
39,1284.54,0.99218,0.78641,1.24135,0.62375,0.59389,0.62002,0.34358,1.61502,1.48315,1.76955,0.000945831,0.000945831,0.000945831
40,1320.03,0.95336,0.74456,1.20704,0.776,0.5774,0.64003,0.34297,1.62428,1.479,1.80107,0.000937518,0.000937518,0.000937518
41,1350.64,0.95074,0.72294,1.21532,0.82047,0.65261,0.73734,0.42212,1.57477,1.45534,1.69807,0.00092904,0.00092904,0.00092904
42,1381.57,0.92888,0.73807,1.20007,0.79148,0.61293,0.70521,0.39928,1.66403,1.44714,1.79166,0.0009204,0.0009204,0.0009204
43,1411.4,0.93605,0.70384,1.20311,0.68797,0.71015,0.70969,0.38772,1.74043,1.56627,1.85424,0.000911603,0.000911603,0.000911603
44,1442.79,0.93427,0.66948,1.19863,0.62097,0.71647,0.65962,0.34967,1.68412,1.59494,1.82237,0.000902652,0.000902652,0.000902652
